source_type,rainfall_24h_mm,temperature_C,dissolved_oxygen_mgL,chlorine_mgL,month,fecal_coliform_MPN,season,pH,turbidity_NTU,persons_with_symptoms,risk_percent
river,9.921,30.691,9.121,0.064,6,170.877,Monsoon,7.136,24.053,3,94.738
community_tank,6.471,24.684,7.414,0.424,3,5.444,Summer,7.251,16.395,1,35.522
open_catchment,1.334,25.051,6.889,0.604,4,16.375,Summer,7.043,3.42,3,15.782
rooftop_rainwater,1.869,20.404,6.22,0.372,10,69.935,Autumn,7.152,10.908,2,34.96
pond,19.115,25.323,6.58,0.179,8,43.505,Monsoon,8.204,2.349,0,25.343
river,20.243,26.996,6.603,0.736,10,16.59,Autumn,8.018,9.047,3,26.399
spring,11.205,24.737,7.024,0.14,11,8.355,Autumn,7.497,14.733,4,41.077
pond,10.913,24.96,7.715,0.668,4,7.385,Summer,7.807,23.449,1,46.118
pond,9.105,25.675,5.848,0.957,11,27.672,Autumn,7.661,18.253,0,39.106
shallow_well,2.268,21.852,8.721,0.471,12,64.233,Winter,7.986,9.886,2,33.793
reservoir,5.591,18.167,6.678,0.2,12,116.25,Winter,8.159,17.316,4,64.547
canal,11.904,24.69,7.021,0.842,4,11.426,Summer,5.51,2.47,1,71.145
spring,7.706,24.323,8.929,0.505,7,24.173,Monsoon,8.122,6.399,2,26.535
river,0.188,26.71,3.807,0.923,3,12.635,Summer,7.494,29.172,2,74.367
community_tank,30.695,32.191,3.182,0.721,12,49.251,Winter,7.609,20.949,1,59.044
open_catchment,18.631,28.888,7.584,0.431,3,57.089,Summer,7.577,13.723,1,42.416
canal,3.018,18.829,7.013,0.617,11,13.439,Autumn,7.558,24.512,3,58.337
shallow_well,9.583,32.562,9.229,0.17,1,8.63,Winter,7.458,1.837,0,23.747
open_catchment,25.671,26.992,5.312,0.387,7,183.792,Monsoon,8.019,6.099,0,52.907
river,1.009,24.206,7.728,0.594,11,33.334,Autumn,7.119,8.649,4,26.302
rooftop_rainwater,6.992,29.429,6.46,0.59,4,35.242,Summer,4.069,8.06,2,100.0
pond,6.093,17.341,8.422,0.587,7,9.988,Monsoon,6.999,18.517,2,49.657
reservoir,5.28,23.366,3.722,0.744,2,27.172,Winter,8.324,24.77,2,52.877
shallow_well,18.054,25.591,6.603,0.106,5,16.075,Summer,6.979,12.201,1,28.759
open_catchment,4.791,25.202,8.092,0.074,12,17.883,Winter,7.297,6.923,3,17.371
community_tank,0.658,29.542,5.808,0.148,7,12.504,Monsoon,7.627,16.494,1,47.401
reservoir,0.681,28.541,6.918,0.792,12,99.51,Winter,7.52,16.661,3,46.448
reservoir,0.437,27.046,7.075,0.065,12,15.953,Winter,7.88,21.592,3,53.27
shallow_well,5.262,24.169,7.504,0.225,9,74.868,Monsoon,7.921,24.013,3,67.376
open_catchment,12.673,27.884,5.366,0.255,10,9.699,Autumn,9.495,13.669,3,84.558
shallow_well,2.278,23.206,6.273,0.647,4,128.037,Summer,7.209,5.733,2,32.874
community_tank,10.398,27.317,7.742,0.402,6,37.304,Monsoon,7.133,17.448,6,47.932
community_tank,11.618,22.813,8.116,0.199,3,61.672,Summer,7.251,12.874,5,41.613
spring,2.946,25.883,7.259,0.45,2,6.221,Winter,7.405,16.98,4,36.084
deep_borehole,9.177,20.633,6.485,0.685,10,59.911,Autumn,6.913,19.646,1,49.456
pond,11.548,28.107,7.141,0.786,12,281.537,Winter,6.65,4.012,2,59.368
canal,6.285,23.666,8.264,0.124,11,37.816,Autumn,7.691,0.208,1,16.342
canal,4.106,20.893,7.302,0.715,2,407.177,Winter,6.175,5.468,5,83.092
reservoir,9.654,22.109,5.229,0.005,5,5.595,Summer,7.495,3.646,1,16.419
river,38.098,24.081,5.314,0.724,3,12.376,Summer,7.845,2.797,1,14.333
piped_protected,5.566,22.263,7.055,0.661,2,48.598,Winter,7.372,0.183,3,28.089
river,4.971,27.161,4.512,0.469,2,12.399,Winter,6.787,14.374,3,34.942
piped_protected,6.241,24.167,8.189,0.137,3,273.947,Summer,6.746,6.599,2,67.552
shallow_well,0.793,27.805,5.608,0.765,1,11.274,Winter,7.596,22.334,2,48.625
piped_protected,8.056,24.151,5.266,0.072,11,67.131,Autumn,7.377,10.912,1,31.61
deep_borehole,3.985,27.151,9.532,0.896,8,16.082,Monsoon,7.585,21.132,0,38.869
deep_borehole,1.295,25.027,6.233,0.773,9,4.836,Monsoon,7.748,1.981,0,13.095
pond,6.278,24.222,7.425,0.741,12,27.751,Winter,7.664,2.556,3,18.409
open_catchment,0.034,21.878,7.898,0.754,1,22.689,Winter,7.644,3.293,1,22.009
canal,5.138,25.204,9.178,0.068,5,47.624,Summer,7.77,17.715,2,49.261
pond,1.118,27.206,6.111,0.99,8,73.872,Monsoon,5.123,2.478,4,88.727
deep_borehole,0.246,22.937,7.266,0.859,2,15.652,Winter,7.333,18.413,1,39.399
open_catchment,17.4,24.963,6.821,0.508,1,75.219,Winter,8.291,5.324,2,25.257
river,24.799,23.345,10.597,0.719,5,33.518,Summer,7.405,16.133,4,39.673
canal,2.328,30.809,3.967,0.739,1,13.948,Winter,6.836,6.814,5,26.113
spring,7.75,25.936,6.759,0.83,6,16.24,Monsoon,7.143,8.449,3,29.0
canal,3.257,25.27,6.974,0.255,9,32.827,Monsoon,6.88,3.443,0,20.333
reservoir,6.804,23.543,6.834,0.372,8,49.965,Monsoon,7.644,1.088,3,16.095
shallow_well,5.738,27.652,4.833,0.8,12,28.482,Winter,7.701,21.08,3,41.651
rooftop_rainwater,3.134,24.998,4.218,0.769,6,25.416,Monsoon,7.093,7.747,2,27.083
canal,12.053,24.805,4.689,0.523,4,14.943,Summer,7.698,15.499,2,32.719
deep_borehole,1.352,24.78,8.294,0.396,7,34.088,Monsoon,7.277,2.486,3,19.668
shallow_well,0.545,21.682,6.975,0.968,12,40.119,Winter,7.6,0.536,5,19.643
community_tank,14.596,29.488,4.361,0.415,6,219.579,Monsoon,7.6,9.391,2,75.907
piped_protected,10.964,27.759,9.148,0.764,7,12.447,Monsoon,7.172,16.377,3,41.498
river,6.902,25.027,9.945,0.413,2,114.473,Winter,7.209,9.89,1,37.869
spring,6.307,24.691,7.452,0.31,7,66.188,Monsoon,7.141,16.273,3,40.948
river,6.88,22.355,7.641,0.641,10,28.041,Autumn,6.826,4.758,4,16.308
community_tank,5.745,20.572,7.133,0.808,4,208.425,Summer,7.662,5.058,1,45.623
rooftop_rainwater,4.99,22.357,6.059,0.981,5,28.69,Summer,7.458,18.403,0,39.726
canal,6.925,28.431,4.255,0.149,11,41.183,Autumn,7.733,19.335,1,49.502
reservoir,7.519,23.84,5.376,0.876,7,22.111,Monsoon,7.141,6.644,1,21.176
pond,11.773,28.247,6.919,0.524,10,61.825,Autumn,7.263,20.055,0,55.322
shallow_well,12.42,24.91,7.863,0.108,11,31.958,Autumn,8.072,11.763,3,33.236
spring,4.742,22.395,6.652,0.794,2,13.196,Winter,7.189,64.813,2,100.0
community_tank,5.337,22.798,6.858,0.332,1,47.469,Winter,7.269,13.414,2,35.32
rooftop_rainwater,4.679,25.74,7.066,0.868,5,155.167,Summer,7.935,9.415,2,44.004
river,7.69,20.142,7.159,0.158,10,17.634,Autumn,8.04,13.737,4,38.589
reservoir,6.04,22.699,6.12,0.711,1,75.871,Winter,7.81,6.153,1,27.021
reservoir,22.036,23.639,7.619,0.301,6,17.702,Monsoon,7.46,16.494,1,41.397
community_tank,11.919,27.462,5.332,0.257,2,47.37,Winter,7.45,14.552,1,45.77
spring,22.892,25.849,7.46,0.05,2,54.758,Winter,7.314,7.57,3,27.658
spring,12.349,25.562,4.723,0.482,4,110.067,Summer,7.666,15.356,1,50.945
rooftop_rainwater,35.402,26.39,5.209,0.392,10,14.465,Autumn,7.415,1.654,2,25.436
river,10.099,28.102,5.924,0.062,2,26.03,Winter,7.503,6.564,2,23.93
deep_borehole,33.118,25.152,7.292,0.227,9,18.67,Monsoon,7.32,3.634,3,19.991
spring,1.722,21.897,7.354,0.487,12,65.148,Winter,7.137,8.6,2,28.498
shallow_well,0.539,25.564,5.724,0.808,3,60.721,Summer,4.479,24.653,4,87.949
shallow_well,8.654,22.479,4.872,0.929,8,38.801,Monsoon,7.457,19.487,5,50.45
piped_protected,41.04,18.793,8.809,0.515,7,29.778,Monsoon,7.877,24.886,3,70.452
river,5.406,25.567,7.1,0.403,11,77.189,Autumn,7.141,23.719,3,64.594
community_tank,2.383,26.55,6.794,0.955,11,9.434,Autumn,7.749,8.09,1,15.316
shallow_well,7.372,26.041,7.546,0.963,7,36.82,Monsoon,8.197,9.319,3,26.968
rooftop_rainwater,10.464,26.516,5.569,0.19,4,88.834,Summer,7.11,23.466,2,64.143
reservoir,3.786,28.344,8.606,0.531,4,8.515,Summer,7.931,0.358,2,15.029
community_tank,12.545,22.093,7.864,0.821,12,21.368,Winter,8.171,17.114,3,40.887
river,36.935,23.836,6.575,0.822,1,20.596,Winter,7.093,4.989,1,16.042
rooftop_rainwater,22.727,21.139,6.907,0.685,8,21.622,Monsoon,7.638,17.003,3,50.082
canal,3.447,26.348,6.64,0.471,1,187.706,Winter,7.885,18.174,1,71.428
open_catchment,3.956,28.686,9.0,0.404,4,4.221,Summer,7.589,9.766,5,24.045
shallow_well,4.645,23.367,7.647,0.806,3,20.557,Summer,7.836,22.318,4,45.759
shallow_well,5.018,27.167,7.814,0.226,1,54.911,Winter,7.318,10.791,5,36.941
piped_protected,1.057,22.692,7.104,0.428,7,71.436,Monsoon,9.255,15.619,2,95.26
deep_borehole,14.353,26.936,7.0,0.567,7,91.983,Monsoon,7.354,4.434,5,26.815
piped_protected,4.547,18.298,9.819,0.832,2,7.972,Winter,7.052,16.509,1,41.067
river,21.188,29.568,6.456,0.374,10,105.365,Autumn,6.997,22.437,1,69.66
piped_protected,26.165,21.729,7.329,0.549,5,96.236,Summer,7.561,17.986,4,54.57
deep_borehole,0.247,25.507,10.092,0.279,8,14.951,Monsoon,7.459,23.169,0,58.882
deep_borehole,44.657,29.214,8.991,0.837,1,13.138,Winter,8.044,6.547,3,16.865
spring,12.38,21.496,7.569,0.786,9,9.88,Monsoon,7.398,0.544,1,18.933
reservoir,7.348,30.279,4.735,0.82,7,3.784,Monsoon,7.335,11.39,3,30.167
spring,4.935,31.309,10.253,0.057,7,232.439,Monsoon,8.31,24.159,1,100.0
open_catchment,7.309,27.067,6.639,0.487,12,33.947,Winter,7.772,3.795,3,20.687
rooftop_rainwater,3.925,25.05,7.126,0.136,2,5.684,Winter,7.986,11.1,1,28.355
canal,9.747,24.446,8.548,0.674,8,3.67,Monsoon,7.735,9.049,3,19.702
deep_borehole,0.976,26.723,6.691,0.311,11,12.075,Autumn,6.876,24.783,3,57.733
canal,9.705,27.239,7.319,0.775,12,20.335,Winter,7.896,5.542,2,19.549
reservoir,3.221,18.961,7.097,0.065,3,64.637,Summer,8.897,20.236,2,89.573
shallow_well,0.178,24.146,6.455,0.513,10,88.868,Autumn,7.677,6.204,3,23.972
pond,8.045,23.246,7.527,0.124,7,42.109,Monsoon,6.81,12.834,1,45.655
open_catchment,8.638,22.812,6.049,0.558,3,34.045,Summer,7.283,11.948,2,39.008
river,5.561,22.871,5.295,0.607,6,42.304,Monsoon,7.947,11.572,2,41.85
reservoir,0.75,21.118,7.811,0.462,1,109.348,Winter,7.093,23.11,2,65.427
community_tank,22.381,29.65,8.878,0.28,4,34.476,Summer,7.975,7.511,2,32.649
canal,9.453,23.238,5.886,0.032,9,51.756,Monsoon,7.379,24.405,0,71.244
piped_protected,1.23,24.565,6.21,0.662,7,10.356,Monsoon,7.267,23.519,4,48.654
deep_borehole,7.153,24.062,7.007,0.87,7,38.632,Monsoon,7.721,14.468,2,39.183
canal,6.877,23.354,7.009,0.734,4,19.399,Summer,7.829,23.006,1,51.49
community_tank,0.623,26.251,4.042,0.893,10,46.524,Autumn,8.047,22.037,2,43.731
deep_borehole,9.336,24.063,6.364,0.93,11,22.467,Autumn,7.407,4.652,2,13.486
river,16.52,26.816,9.693,0.45,1,46.103,Winter,8.112,3.937,1,19.826
pond,13.823,29.71,9.096,0.698,1,14.768,Winter,7.975,0.055,1,21.919
piped_protected,2.269,21.699,9.556,0.397,11,11.835,Autumn,7.257,18.203,5,38.525
canal,19.826,25.968,7.926,0.92,3,14.203,Summer,7.371,20.784,5,41.029
spring,4.194,25.88,6.202,0.563,12,14.988,Winter,7.16,24.278,3,50.699
open_catchment,29.282,21.474,7.385,0.752,7,43.007,Monsoon,7.436,15.709,3,42.524
canal,0.745,26.938,7.898,0.015,7,68.096,Monsoon,7.854,22.296,1,67.797
canal,6.659,24.213,6.506,0.576,5,36.611,Summer,7.305,11.833,3,33.749
community_tank,9.091,29.738,4.413,0.742,9,35.914,Monsoon,7.719,12.531,4,34.501
community_tank,2.846,27.997,8.358,0.257,11,35.918,Autumn,7.738,17.788,3,44.052
open_catchment,14.757,24.998,6.327,0.014,2,93.966,Winter,7.716,2.401,2,31.614
canal,9.859,24.351,7.94,0.744,9,11.371,Monsoon,7.603,21.048,1,51.948
rooftop_rainwater,0.183,30.198,4.628,0.338,9,40.654,Monsoon,7.897,19.14,2,56.916
river,9.374,23.262,6.038,0.429,6,37.846,Monsoon,7.237,4.997,4,23.021
community_tank,6.762,25.793,7.582,0.562,4,76.813,Summer,7.816,5.189,1,21.2
community_tank,2.182,24.805,7.947,0.11,5,14.692,Summer,7.642,23.208,2,53.777
reservoir,54.604,28.585,8.123,0.104,6,154.713,Monsoon,7.6,16.071,1,75.821
rooftop_rainwater,22.746,28.815,6.897,0.961,4,28.838,Summer,7.417,7.911,1,28.115
deep_borehole,3.46,26.627,7.289,0.339,9,9.768,Monsoon,7.088,22.384,0,56.574
reservoir,7.789,23.417,7.585,0.256,11,19.286,Autumn,7.726,24.967,5,55.386
canal,3.805,24.531,7.48,0.048,2,64.64,Winter,7.442,22.114,4,63.981
open_catchment,14.939,21.309,7.857,0.174,12,26.394,Winter,8.215,21.267,1,54.278
community_tank,26.64,25.747,5.273,0.431,8,15.903,Monsoon,8.186,10.695,1,31.274
open_catchment,4.445,22.58,9.795,0.342,9,125.316,Monsoon,7.205,23.929,2,80.877
open_catchment,16.378,31.716,6.724,0.425,4,55.884,Summer,8.63,15.155,2,83.663
river,6.9,23.357,6.858,0.704,9,25.508,Monsoon,7.13,5.761,3,21.021
spring,5.051,28.077,6.563,0.642,2,40.718,Winter,8.096,21.953,2,49.681
community_tank,27.874,29.585,7.348,0.493,3,78.328,Summer,7.861,1.488,3,27.008
reservoir,7.142,27.487,4.836,0.815,10,103.484,Autumn,7.238,21.625,2,58.11
piped_protected,6.3,23.48,6.269,0.857,5,18.233,Summer,7.542,8.803,2,20.986
deep_borehole,11.161,23.266,4.138,0.591,4,67.541,Summer,7.393,16.573,1,45.334
open_catchment,3.028,33.832,6.298,0.118,11,212.446,Autumn,7.39,2.186,2,62.061
community_tank,3.927,30.922,7.237,0.406,3,17.485,Summer,7.749,12.012,2,34.012
deep_borehole,26.889,25.91,7.854,0.634,4,47.814,Summer,7.637,3.847,2,24.658
piped_protected,11.349,23.985,6.911,0.063,9,51.298,Monsoon,7.232,19.084,1,62.284
community_tank,17.524,22.39,7.429,0.02,9,27.553,Monsoon,8.133,71.024,3,100.0
canal,3.162,23.141,4.471,0.948,5,13.527,Summer,7.816,21.172,3,42.617
open_catchment,7.848,27.131,7.234,0.73,7,13.499,Monsoon,7.598,0.906,3,17.954
piped_protected,35.542,31.939,8.886,0.153,8,26.174,Monsoon,7.463,17.259,3,54.797
canal,3.838,24.644,7.696,0.445,2,14.368,Winter,7.316,14.744,0,33.336
open_catchment,1.749,28.595,5.88,0.194,9,8.155,Monsoon,8.093,6.645,2,24.617
shallow_well,7.152,27.695,7.254,0.01,9,9.578,Monsoon,7.239,4.845,1,21.607
reservoir,4.907,24.123,9.047,0.392,2,19.188,Winter,7.169,23.485,3,47.295
pond,1.739,27.997,7.854,0.648,6,26.86,Monsoon,7.978,20.279,1,46.639
rooftop_rainwater,21.942,28.09,7.895,0.954,4,18.031,Summer,7.351,8.466,0,25.002
open_catchment,46.803,27.75,5.821,0.77,11,13.256,Autumn,7.552,21.391,2,44.895
piped_protected,8.407,23.762,6.456,0.23,1,85.811,Winter,8.192,1.194,1,26.677
piped_protected,14.902,27.151,6.897,0.336,11,10.974,Autumn,7.22,21.889,4,51.312
pond,19.593,28.567,9.71,0.521,5,32.759,Summer,7.047,11.266,2,35.134
community_tank,12.073,27.867,5.631,0.191,12,104.695,Winter,7.73,11.084,0,53.473
rooftop_rainwater,0.452,28.233,7.389,0.833,3,36.717,Summer,7.651,16.966,4,37.297
deep_borehole,1.715,24.391,8.01,0.168,1,301.338,Winter,7.072,19.176,1,100.0
open_catchment,0.736,28.218,8.113,0.29,2,52.349,Winter,8.172,6.865,2,30.097
community_tank,0.099,28.87,6.627,0.578,7,25.291,Monsoon,7.371,16.679,1,37.745
canal,3.653,23.629,6.511,0.123,1,20.098,Winter,7.734,5.287,2,23.784
deep_borehole,4.982,20.848,9.891,0.625,3,64.06,Summer,8.078,23.712,3,57.417
rooftop_rainwater,2.758,29.907,6.598,0.944,11,58.506,Autumn,7.643,23.183,1,47.881
community_tank,0.668,23.612,6.373,0.692,1,52.972,Winter,8.355,15.397,1,40.09
spring,7.547,22.772,8.394,0.813,1,16.585,Winter,7.057,23.765,1,55.31
deep_borehole,3.193,25.637,7.193,0.438,12,24.046,Winter,7.298,16.071,0,35.05
river,15.898,24.19,5.049,0.365,8,8.233,Monsoon,7.874,3.543,1,19.554
river,0.081,19.221,8.469,0.329,6,29.135,Monsoon,7.737,8.21,4,32.767
open_catchment,18.485,27.675,6.403,0.66,4,45.531,Summer,7.34,12.614,5,31.99
open_catchment,30.956,27.6,6.387,0.519,8,16.585,Monsoon,7.628,3.938,1,18.85
open_catchment,12.593,21.906,10.99,0.472,7,22.033,Monsoon,7.702,2.381,2,24.899
rooftop_rainwater,13.229,24.924,6.648,0.101,9,23.741,Monsoon,7.493,15.463,4,45.138
spring,27.115,21.948,7.101,0.673,1,44.824,Winter,7.507,16.695,0,47.12
community_tank,2.345,22.424,8.37,0.725,10,10.239,Autumn,6.735,23.915,2,52.204
canal,52.15,23.194,5.602,0.196,5,18.274,Summer,7.911,12.969,2,36.93
shallow_well,14.849,26.586,7.837,0.76,6,9.087,Monsoon,7.287,11.399,3,30.536
piped_protected,12.967,31.034,8.386,0.879,6,23.981,Monsoon,7.154,10.869,1,35.41
canal,4.48,23.76,8.99,0.175,10,43.973,Autumn,7.379,7.208,0,23.053
community_tank,7.892,27.517,7.989,0.452,7,53.315,Monsoon,7.578,21.827,2,57.312
spring,10.611,27.393,5.343,0.876,5,58.572,Summer,7.051,24.096,2,50.555
rooftop_rainwater,9.685,18.611,7.654,0.487,11,20.181,Autumn,7.078,0.237,3,18.381
deep_borehole,12.207,20.845,4.982,0.815,5,88.248,Summer,7.562,23.335,2,57.894
canal,0.86,31.139,8.845,0.216,1,202.456,Winter,7.561,1.515,1,57.397
deep_borehole,4.395,23.481,8.611,0.064,12,25.141,Winter,7.157,22.105,3,48.687
shallow_well,5.692,26.359,7.337,0.059,11,35.122,Autumn,7.564,4.767,1,21.574
community_tank,3.02,26.01,7.276,0.972,10,24.872,Autumn,9.015,18.814,2,72.114
reservoir,1.895,18.616,6.989,0.165,5,22.425,Summer,7.632,2.491,0,23.382
spring,1.496,22.954,6.96,0.865,10,16.907,Autumn,7.478,0.632,2,17.271
community_tank,4.563,27.18,8.452,0.316,1,52.705,Winter,6.918,12.943,2,33.35
piped_protected,6.801,22.187,6.533,0.04,10,100.147,Autumn,7.386,21.106,2,65.086
rooftop_rainwater,0.65,23.866,10.288,0.241,2,8.944,Winter,7.311,10.14,4,24.86
piped_protected,29.273,21.388,7.26,0.505,1,57.249,Winter,7.528,11.875,1,38.841
community_tank,14.492,22.478,8.862,0.107,8,14.118,Monsoon,7.011,3.791,1,23.785
piped_protected,13.125,23.42,4.518,0.922,8,46.803,Monsoon,7.373,17.065,2,44.74
pond,1.898,19.423,6.134,0.9,8,44.984,Monsoon,6.956,12.684,1,39.843
community_tank,9.258,28.515,8.375,0.149,10,51.821,Autumn,7.475,23.784,3,63.412
spring,7.544,20.834,7.484,0.737,10,42.824,Autumn,8.114,53.945,1,100.0
canal,40.438,24.483,7.043,0.461,1,23.747,Winter,8.015,22.753,4,53.448
spring,13.77,22.765,8.589,0.982,4,27.144,Summer,7.579,23.094,1,48.203
pond,8.575,28.231,10.181,0.055,12,123.756,Winter,7.322,24.112,4,71.839
reservoir,19.026,21.303,5.266,0.471,11,35.84,Autumn,7.077,10.771,2,38.831
canal,1.685,22.654,8.501,0.285,1,58.668,Winter,7.112,17.991,1,46.206
pond,0.153,20.989,6.336,0.726,4,24.325,Summer,6.837,1.892,1,14.141
canal,11.719,17.776,8.282,0.111,7,31.059,Monsoon,9.117,16.696,3,100.0
reservoir,1.035,26.527,6.319,0.628,10,90.494,Autumn,7.967,7.501,1,29.19
spring,1.227,25.097,7.794,0.948,7,12.919,Monsoon,7.962,5.736,2,18.386
reservoir,13.652,25.657,7.93,0.454,1,32.547,Winter,7.435,0.632,2,16.868
community_tank,3.154,27.431,5.955,0.454,10,27.201,Autumn,7.926,1.289,2,19.783
open_catchment,9.906,25.324,6.287,0.496,2,106.104,Winter,7.439,5.075,3,29.309
river,24.938,23.668,6.717,0.416,11,166.599,Autumn,7.237,12.65,4,60.306
river,3.805,25.779,4.562,0.447,6,65.733,Monsoon,7.453,5.322,1,26.66
pond,2.448,23.481,7.681,0.463,11,133.331,Autumn,7.438,8.389,3,43.213
river,1.127,28.337,9.209,0.998,6,12.05,Monsoon,6.883,22.404,2,44.321
spring,1.398,23.914,5.111,0.116,1,2.489,Winter,7.812,5.4,2,20.515
deep_borehole,0.642,24.642,7.987,0.285,4,48.699,Summer,7.461,16.652,2,46.273
pond,0.917,26.91,7.515,0.211,11,70.567,Autumn,7.604,19.918,0,56.005
canal,5.656,32.008,5.966,0.544,9,22.438,Monsoon,7.697,12.717,2,40.303
reservoir,3.869,21.933,10.061,0.003,8,18.127,Monsoon,7.205,1.871,3,29.186
reservoir,12.261,21.345,8.726,0.921,11,44.683,Autumn,7.142,22.832,3,48.934
rooftop_rainwater,20.421,24.265,8.858,0.531,4,127.974,Summer,7.704,5.398,2,38.355
piped_protected,15.361,22.755,7.061,0.896,3,44.188,Summer,7.826,20.456,1,49.833
spring,7.564,27.1,4.731,0.345,8,81.643,Monsoon,7.931,11.049,3,40.359
canal,1.081,25.592,7.257,0.15,9,76.946,Monsoon,7.782,22.814,0,68.073
deep_borehole,12.371,21.642,6.812,0.192,1,54.664,Winter,7.37,7.789,2,33.705
rooftop_rainwater,4.507,27.248,8.533,0.471,10,104.533,Autumn,7.858,2.018,2,23.047
river,0.895,30.543,6.113,0.04,8,17.604,Monsoon,7.253,7.837,1,22.906
deep_borehole,18.481,22.603,9.002,0.782,5,17.988,Summer,7.466,19.884,1,39.824
pond,4.128,25.976,6.068,0.791,3,18.423,Summer,8.106,6.961,3,18.39
reservoir,2.462,18.416,8.059,0.702,10,41.924,Autumn,7.244,20.536,3,51.86
shallow_well,20.515,23.896,5.88,0.896,11,118.928,Autumn,8.583,12.507,1,70.372
shallow_well,23.242,25.929,6.943,0.549,5,63.585,Summer,7.973,20.776,4,53.938
river,4.14,24.576,5.001,0.479,10,2.903,Autumn,7.908,12.841,1,29.518
shallow_well,4.382,25.338,7.109,0.529,4,653.681,Summer,7.6,20.018,0,100.0
shallow_well,8.666,22.666,5.488,0.182,1,51.914,Winter,6.875,18.539,1,52.258
canal,13.222,28.78,7.832,0.512,8,113.993,Monsoon,7.44,9.85,2,46.971
canal,0.652,23.768,8.045,0.542,7,52.722,Monsoon,7.329,19.158,2,51.678
piped_protected,8.998,21.312,6.983,0.765,11,9.132,Autumn,7.53,4.127,1,18.076
community_tank,30.538,24.884,6.02,0.348,4,58.442,Summer,7.42,13.371,1,42.209
river,3.039,27.769,7.608,0.092,4,10.754,Summer,7.396,9.07,1,30.35
shallow_well,23.95,26.663,8.426,0.597,5,48.349,Summer,8.067,2.285,1,20.457
piped_protected,29.991,23.447,6.745,0.788,1,55.816,Winter,7.345,6.531,7,23.884
river,3.136,30.319,6.356,0.97,4,92.739,Summer,7.811,4.145,2,23.759
shallow_well,14.032,24.776,5.11,0.09,5,23.388,Summer,8.428,8.179,4,32.784
spring,2.728,19.863,7.327,0.746,8,3.448,Monsoon,7.993,24.072,1,54.011
reservoir,13.379,26.783,8.59,0.596,1,27.442,Winter,8.406,12.921,2,31.942
open_catchment,15.966,24.588,9.145,0.015,11,65.941,Autumn,7.853,17.743,1,50.082
spring,2.84,24.778,7.356,0.718,4,36.01,Summer,7.309,17.287,3,35.61
rooftop_rainwater,12.583,27.666,4.898,0.026,10,33.112,Autumn,7.159,5.099,0,27.287
river,16.719,24.217,6.295,0.785,10,23.685,Autumn,8.338,20.39,2,43.699
community_tank,4.441,24.129,8.756,0.721,7,74.929,Monsoon,7.386,24.431,4,61.505
rooftop_rainwater,1.836,21.239,8.233,0.688,5,152.082,Summer,7.406,60.796,3,100.0
piped_protected,0.965,23.412,5.449,0.12,1,29.363,Winter,7.885,21.229,4,52.336
piped_protected,8.566,25.735,9.965,0.919,7,75.694,Monsoon,6.738,1.969,1,22.207
shallow_well,38.212,23.236,5.376,0.899,1,89.092,Winter,8.9,11.824,3,73.181
rooftop_rainwater,17.313,19.992,6.416,0.9,2,15.814,Winter,7.233,22.851,2,48.273
reservoir,5.724,26.954,7.755,0.36,8,14.577,Monsoon,7.768,23.813,6,62.404
shallow_well,7.692,27.077,6.881,0.492,9,102.103,Monsoon,7.691,16.118,1,57.462
river,3.278,27.1,6.512,0.115,8,16.585,Monsoon,7.252,24.654,4,66.394
piped_protected,1.78,22.223,7.02,0.051,8,26.424,Monsoon,7.546,21.551,2,54.868
open_catchment,6.579,24.938,8.538,0.059,6,50.312,Monsoon,7.376,22.68,3,65.662
piped_protected,6.227,25.719,9.885,0.569,7,13.834,Monsoon,7.879,9.197,3,28.436
canal,7.38,26.784,7.455,0.321,4,29.182,Summer,7.885,21.352,2,51.471
deep_borehole,30.535,26.851,6.057,0.58,12,48.117,Winter,7.454,3.241,1,21.663
community_tank,9.261,20.762,7.158,0.593,5,5.545,Summer,7.788,1.857,0,19.819
rooftop_rainwater,9.308,30.166,9.962,0.907,2,37.31,Winter,7.531,4.433,1,18.947
shallow_well,1.37,21.375,8.218,0.882,10,8.87,Autumn,7.123,7.965,1,22.452
deep_borehole,56.518,20.107,9.009,0.719,11,21.314,Autumn,7.442,19.486,0,47.66
deep_borehole,14.821,16.199,8.246,0.819,4,28.729,Summer,7.334,22.768,1,57.651
spring,20.972,27.096,8.411,0.003,7,4.424,Monsoon,7.561,23.122,4,61.583
pond,5.349,29.347,7.07,0.016,4,23.046,Summer,7.875,1.435,3,18.713
spring,6.974,23.103,9.161,0.459,6,8.1,Monsoon,7.218,2.847,1,18.266
spring,7.383,19.696,2.753,0.654,11,8.058,Autumn,7.663,7.08,0,36.781
community_tank,2.158,27.624,7.854,0.794,11,31.937,Autumn,7.393,21.075,2,45.024
canal,11.695,21.106,7.718,0.447,12,90.237,Winter,7.547,15.492,2,50.004
piped_protected,23.328,26.857,5.698,0.94,8,70.162,Monsoon,7.025,13.812,1,43.594
spring,1.788,22.227,7.517,0.815,5,16.662,Summer,7.296,12.503,2,24.651
river,0.903,23.683,7.892,0.103,8,10.563,Monsoon,7.583,18.795,0,49.62
piped_protected,13.402,25.958,4.403,0.44,4,26.834,Summer,7.541,23.555,1,52.855
canal,3.191,25.98,7.547,0.995,11,69.777,Autumn,7.316,0.969,2,23.183
